Date,Date,Average_close_price,Average_open_price,Highest_close_price,Highest_high,Highest_low,Lowest_high,Lowest_low,Lowest_open_price
2013,August,70.41651775,70.3141074375,72.534286,73.391426,72.0,65.779999,64.807144,65.26571700000001
2013,December,79.95108761904763,80.09258557142856,81.441429,82.16285699999999,80.915718,78.571426,76.971428,77.918571
2013,November,74.94521405,74.74542855,79.438568,79.761429,78.25856800000001,74.345711,73.197144,73.511429
2013,October,72.10639752173913,72.02124256521738,75.987144,77.035713,75.01571700000001,69.228569,68.325714,68.349998
2013,September,68.59778555000001,68.9675,72.309998,72.559998,71.925713,65.672859,63.888573,63.994285999999995
2014,April,77.29632714285715,77.15455847619047,84.870003,85.632858,84.257141,74.441429,73.04714200000001,74.007141
2014,August,98.43666657142859,98.14952428571429,102.5,102.900002,102.199997,94.82,93.279999,94.260002
2014,December,112.41136418181817,112.72181877272727,115.93,119.25,115.290001,109.839996,106.260002,106.370003
2014,February,75.22571410526314,75.1030072631579,77.998573,78.74143199999999,77.944283,72.53286,71.328575,71.80143000000001
2014,January,76.77795923809524,76.87156561904762,79.622856,80.028572,78.860001,71.647141,70.507141,70.739998
2014,July,95.62590850000002,95.72909131818182,99.019997,99.440002,98.25,94.059998,92.57,93.519997
2014,June,91.88544257142857,91.91265252380951,94.25,95.050003,93.57,90.690002,88.928574,89.779999
2014,March,76.17346838095237,76.22761871428571,77.855713,78.428574,77.084282,75.709999,74.687141,74.774284
2014,May,86.17081742857143,85.90027176190476,90.76857,92.024284,89.842857,83.75,82.904289,83.505714
2014,November,113.28526263157895,112.90947357894738,119.0,119.75,118.050003,108.790001,107.720001,108.220001
2014,October,101.69956573913043,101.64000000000001,108.0,108.040001,107.209999,97.720001,95.18,95.550003
2014,September,100.54857204761905,100.61809580952384,103.300003,103.739998,102.720001,99.309998,96.139999,98.010002
2015,April,127.29142757142857,127.53523871428573,132.649994,134.53999299999998,131.149994,125.120003,123.099998,124.470001
2015,August,113.39476233333332,113.4395236190476,119.720001,122.57,117.519997,108.800003,92.0,94.870003
2015,December,111.72681809090909,112.29590918181822,119.029999,119.860001,117.809998,107.029999,104.82,106.959999
